<b>T1</b>,I,Q,A(V),UFNP(rad/x),exported by
27500.0,0.0009958964152833537,-4.859934290833019e-06,0.0009959082733543012,-0.004879920881965985,boris
28000.0,0.000993335592661156,-1.2371527789295548e-05,0.0009934126304549037,-0.012453885946583882,boris
28500.0,0.0010005063278174817,-9.822076756921804e-06,0.0010005545388406577,-0.009816790724856087,boris
29000.0,0.000993509859067517,4.497579010817691e-06,0.0009935200391946385,0.004526928692896675,boris
29500.0,0.0009947027708842068,-7.134448777385648e-07,0.0009947030267413045,-0.0007172441620555998,boris
30000.0,0.0010004791234245415,-8.630185260361795e-06,0.0010005163449469314,-0.008625838374848063,boris
30500.0,0.0009893497441376313,-4.910310569381152e-06,0.0009893619294146527,-0.004963128843391155,boris
31000.0,0.0009972405239677003,-1.4566912213745505e-06,0.0009972415878776255,-0.0014607210099410093,boris
31500.0,0.0009955842452260358,-1.4070086017533287e-05,0.0009956836629486476,-0.014131550866115209,boris
32000.0,0.0009958059357680245,-8.041498744066096e-06,0.000995838404266918,-0.008075191824549199,boris
32500.0,0.0009885801545629362,-9.705404644332714e-06,0.0009886277949132268,-0.00981720379814734,boris
33000.0,0.0009951998189647324,-3.267309380774294e-06,0.0009952051823508687,-0.0032830569094227766,boris
33500.0,0.0009920559148637815,-1.638622568484341e-05,0.0009921912348979953,-0.016515939764857882,boris
34000.0,0.0009955573227685283,-7.897434584850588e-06,0.0009955886461742427,-0.007932510520070001,boris
34500.0,0.0009946510745627826,-1.0112237109953805e-05,0.0009947024768584153,-0.010166267336860843,boris
35000.0,0.0009960030759789777,-4.241377683932654e-07,0.0009960031662863487,-0.0004258397920495675,boris
35500.0,0.0009972944181197876,-1.4462040912316166e-05,0.00099739927162608,-0.0145002589517509,boris
36000.0,0.000993265899886921,-1.2398895125968665e-05,0.0009933432843073535,-0.012482308283804894,boris
36500.0,0.000992153777562743,-1.1756552665717109e-05,0.00099222342991012,-0.01184897213219127,boris
37000.0,0.000997931326265479,-7.260586829565098e-06,0.000997957738615763,-0.007275509375961343,boris
37500.0,0.000989454118814628,-9.493618229133121e-06,0.0009894996624690239,-0.009594509473840735,boris
38000.0,0.000998284283442148,-1.352168569847845e-05,0.0009983758543513216,-0.0135440967018129,boris
38500.0,0.000995559107377301,-1.3829522673250625e-05,0.000995655157159977,-0.01389031864833147,boris
39000.0,0.0009922779668898095,-5.384099277788438e-06,0.0009922925738410054,-0.005425945773044514,boris
39500.0,0.0009933410882564985,-7.689999047816741e-06,0.00099337085406406,-0.007741394692757742,boris
40000.0,0.0009967988430077002,-1.5005842252996973e-06,0.0009967999724992507,-0.0015054021202639293,boris
40500.0,0.0009957765692189039,5.120456143642748e-06,0.000995789734269484,0.0051421284362600525,boris
41000.0,0.0009937773681179271,5.98182672033193e-08,0.0009937773699182425,6.0192824922510105e-05,boris
41500.0,0.000988290700124188,-6.1349711494248565e-06,0.0009883097418435993,-0.006207578748563276,boris
42000.0,0.0009948772815532223,-3.1029394660443873e-06,0.0009948821204464676,-0.0031189066854865437,boris
42500.0,0.0009860351793871385,-4.204465272907507e-06,0.0009860441432903789,-0.004263985585408481,boris
43000.0,0.000996899766965483,3.4337644815219233e-06,0.0009969056806510576,0.0034444294359318346,boris
43500.0,0.0009898803399412464,-1.6725181007430483e-05,0.0009900216255627596,-0.016894556882178623,boris
44000.0,0.0009894454333603405,1.541097326190726e-05,0.000989565441845314,0.01557410518142302,boris
44500.0,0.000988902865475647,-3.3713534418951817e-06,0.0009889086122438088,-0.003409172425774207,boris
45000.0,0.0009973775401404665,3.647725588290531e-06,0.000997384210562116,0.003657300448089467,boris
45500.0,0.0009969062011343202,-2.448881437714215e-06,0.0009969092089455076,-0.0024564763557329366,boris
46000.0,0.000985115367228904,5.460889017668995e-08,0.0009851153687424987,5.543400492712492e-05,boris
46500.0,0.00099479101996582,-9.143501720218096e-06,0.0009948330397751897,-0.00919112061158074,boris
47000.0,0.0009933211765100565,-1.9758787060731605e-07,0.00099332119616179,-0.00019891639549605533,boris
47500.0,0.0009945285651203264,-1.2544557007013308e-05,0.0009946076778060773,-0.012612902456150673,boris
48000.0,0.0009900842496368418,-6.886835500152483e-06,0.0009901082010983215,-0.006955695373117522,boris
48500.0,0.0009905970595129705,-2.4177279308204438e-06,0.0009906000099556285,-0.0024406726295955693,boris
49000.0,0.0009934120422949964,-9.052026110053402e-06,0.000993453282723155,-0.009111803771805774,boris
49500.0,0.0009874887333800218,-8.69311992269246e-07,0.0009874891160189156,-0.0008803257579751273,boris
50000.0,0.001000718181162957,-1.0614469772354155e-05,0.0010007744726353912,-0.010606454382067842,boris
